17:01:30.575,19-09-07,0001856497,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:01:46.575,19-09-07,0001857997,USBWrite,Datagram write error: 1!
17:01:46.575,19-09-07,0001857997,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:02:01.575,19-09-07,0001859497,USBWrite,Datagram write error: 1!
17:02:01.575,19-09-07,0001859497,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:02:16.575,19-09-07,0001860997,USBWrite,Datagram write error: 1!
17:02:16.575,19-09-07,0001860997,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:02:32.575,19-09-07,0001862497,USBWrite,Datagram write error: 1!
17:02:32.575,19-09-07,0001862497,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:02:47.575,19-09-07,0001863997,USBWrite,Datagram write error: 1!
17:02:47.575,19-09-07,0001863997,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:03:03.575,19-09-07,0001865497,USBWrite,Datagram write error: 1!
17:03:03.575,19-09-07,0001865497,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:03:18.575,19-09-07,0001866997,USBWrite,Datagram write error: 1!
17:03:18.575,19-09-07,0001866997,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:03:33.575,19-09-07,0001868497,USBWrite,Datagram write error: 1!
17:03:33.575,19-09-07,0001868497,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:03:49.575,19-09-07,0001869997,USBWrite,Datagram write error: 1!
17:03:49.575,19-09-07,0001869997,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:04:04.595,19-09-07,0001871499,USBWrite,Datagram write error: 1!
17:04:04.595,19-09-07,0001871499,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:04:19.595,19-09-07,0001872999,USBWrite,Datagram write error: 1!
17:04:19.595,19-09-07,0001872999,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:04:35.595,19-09-07,0001874499,USBWrite,Datagram write error: 1!
17:04:35.595,19-09-07,0001874499,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:04:50.595,19-09-07,0001875999,USBWrite,Datagram write error: 1!
17:04:50.595,19-09-07,0001875999,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:04:59.155,19-09-07,0001876755,  jUSB01,TI_CN_TR_Reset: Transmit Pipe reset!
17:04:59.165,19-09-07,0001876756,sm_Conne,TI_CN_TR_Reset: Transmit Pipe reset!
17:05:01.245,19-09-07,0001876964,USBWrite,Datagram write error: 1!
17:05:01.245,19-09-07,0001876964,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:05:16.235,19-09-07,0001878463,USBWrite,Datagram write error: 1!
17:05:16.235,19-09-07,0001878463,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:05:32.235,19-09-07,0001879963,USBWrite,Datagram write error: 1!
17:05:32.235,19-09-07,0001879963,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:05:45.140,19-09-07,0000000014, TSK0040,Version: 5.1.0.104  
17:05:51.190,19-09-07,0000000019,     gui,Version: 5.1.0.177  
17:05:56.960,19-09-07,0000000496,USBWrite,Datagram write error: 1!
17:05:56.960,19-09-07,0000000496,USBWrite,usbWriteTaskEntry: write failed(0!=77).
